city_state,rii_svi1_std,rii_svi2_std,rii_svi3_std,rii_svi4_std,sii_svi1_std,sii_svi2_std,sii_svi3_std,sii_svi4_std
"Long Beach, CA","1
(0.88;1.14)","0.97
(0.86;1.09)","1.05
(0.92;1.2)","1.06
(0.93;1.2)","-0.54
(-6.93;5.85)","-1.93
(-7.93;4.08)","2.15
(-4.48;8.78)","2.41
(-3.88;8.69)"
"Los Angeles, CA","0.77
(0.68;0.88)","0.78
(0.67;0.91)","0.76
(0.64;0.91)","0.73
(0.61;0.88)","-16.69
(-25.62;-7.77)","-13.21
(-23.8;-2.62)","-18.32
(-30.41;-6.23)","-21.17
(-33.84;-8.49)"
"Oakland, CA","1.14
(0.94;1.39)","1.17
(0.99;1.37)","1.11
(0.95;1.29)","1.43
(1.17;1.73)","7.47
(-4.65;19.59)","8.09
(-2.04;18.23)","4.99
(-4.33;14.31)","20.19
(7.79;32.59)"
"San Diego, CA","0.98
(0.8;1.2)","0.97
(0.78;1.21)","1.01
(0.78;1.31)","0.87
(0.69;1.1)","-0.74
(-15.62;14.13)","-1.17
(-17.35;15)","0.8
(-18.12;19.72)","-8.92
(-25.97;8.14)"
"San Francisco, CA","0.92
(0.73;1.15)","1.02
(0.78;1.34)","1.19
(0.93;1.51)","1.04
(0.77;1.41)","-4.41
(-21.11;12.29)","4.2
(-15.57;23.98)","13.34
(-4.25;30.92)","2.46
(-19.75;24.68)"
"San Jose, CA","0.89
(0.79;0.99)","1.12
(0.94;1.32)","0.76
(0.65;0.89)","0.81
(0.72;0.92)","-8.74
(-17.06;-0.43)","9.68
(-2.72;22.07)","-21.05
(-32.7;-9.4)","-15.89
(-24.87;-6.92)"
"Chicago, IL","0.81
(0.51;1.28)","0.67
(0.43;1.04)","1.19
(0.73;1.93)","0.79
(0.5;1.24)","-9.27
(-22.65;4.11)","-14.27
(-26.83;-1.7)","0.05
(-14.18;14.29)","-9.98
(-23.19;3.23)"
"Indianapolis, IN","0.65
(0.59;0.72)","0.57
(0.51;0.64)","0.62
(0.4;0.94)","0.67
(0.55;0.82)","-21.77
(-26.75;-16.79)","-28.37
(-34.58;-22.16)","-26.22
(-47.66;-4.77)","-20.8
(-30.66;-10.95)"
"Minneapolis, MN","0.67
(0.55;0.81)","0.71
(0.62;0.8)","0.82
(0.68;0.98)","0.85
(0.65;1.1)","-23.13
(-33.17;-13.1)","-18.08
(-25.51;-10.64)","-10.62
(-20.55;-0.69)","-9.5
(-23.9;4.91)"
"New York City, NY","0.87
(0.8;0.96)","0.78
(0.71;0.86)","0.93
(0.73;1.18)","0.99
(0.85;1.15)","-8.96
(-15.22;-2.69)","-15.67
(-22.17;-9.17)","-6.26
(-22.41;9.89)","-0.25
(-10.32;9.81)"
"Philadelphia, PA","0.89
(0.73;1.09)","0.82
(0.67;1.01)","1.22
(1.01;1.46)","1
(0.86;1.16)","-5.46
(-14.75;3.83)","-8.53
(-18.59;1.53)","10.23
(1.62;18.83)","0.78
(-6.13;7.7)"
"Austin, TX","0.76
(0.63;0.92)","0.63
(0.49;0.81)","0.92
(0.76;1.12)","0.9
(0.72;1.12)","-18.2
(-27.79;-8.6)","-23.34
(-37.42;-9.26)","-9.51
(-19.83;0.81)","-10.29
(-22.04;1.46)"
"Dallas, TX","0.7
(0.62;0.8)","0.63
(0.54;0.74)","0.63
(0.5;0.78)","0.76
(0.62;0.93)","-15.45
(-22.64;-8.26)","-18.89
(-28.16;-9.62)","-26.16
(-37.41;-14.9)","-11.48
(-21.95;-1.01)"
"Fort Worth, TX","0.59
(0.45;0.79)","0.53
(0.36;0.76)","0.69
(0.45;1.05)","0.71
(0.48;1.06)","-19.59
(-28.96;-10.21)","-25.4
(-37.43;-13.38)","-15.79
(-30.08;-1.5)","-17.7
(-30.85;-4.55)"
"Houston, TX","0.68
(0.62;0.74)","0.61
(0.54;0.69)","0.67
(0.54;0.83)","0.72
(0.64;0.82)","-23.1
(-29.02;-17.18)","-28.46
(-36.42;-20.51)","-27.39
(-40.6;-14.17)","-18.32
(-26.3;-10.34)"
"San Antonio, TX","0.81
(0.67;0.97)","0.79
(0.64;0.99)","0.81
(0.63;1.04)","0.81
(0.66;1)","-18.53
(-26.29;-10.76)","-18.8
(-28.14;-9.46)","-21.13
(-31.55;-10.7)","-17.44
(-26.19;-8.68)"
Total**,"0.74
(0.69;0.8)","0.75
(0.67;0.84)","0.85
(0.77;0.94)","0.85
(0.77;0.93)","-16.05
(-19.51;-12.6)","-13.72
(-19.55;-7.89)","-10.15
(-16.45;-3.84)","-11.14
(-16.63;-5.65)"
