city_state,n_zcta,zcta_pop,svi,pop,nonwhite,poverty,prop
"Long Beach, CA",11,39239,0.76 [0.46-0.92],0.47,71.8,16.8,57.3
"Los Angeles, CA",79,37251,0.81 [0.52-0.90],3.97,71.5,18.0,59.2
"Oakland, CA",16,30587.5,0.69 [0.54-0.89],0.43,71.7,16.7,67.2
"San Diego, CA",38,42584.5,0.50 [0.34-0.79],1.41,57.2,12.8,65.0
"San Francisco, CA",26,31448.5,0.57 [0.47-0.73],0.87,59.5,10.3,74.0
"San Jose, CA",31,36975,0.54 [0.40-0.66],1.03,74.3,8.7,71.9
"Chicago, IL",58,46612,0.71 [0.46-0.93],2.71,66.7,18.4,55.9
"Indianapolis, IN",35,28705,0.75 [0.37-0.91],0.86,45.5,18.0,50.2
"Minneapolis, MN",22,23088.5,0.62 [0.49-0.84],0.42,40.0,19.1,63.2
"New York City, NY",177,42726,0.75 [0.60-0.89],8.42,67.9,17.9,62.8
"Philadelphia, PA",46,34022,0.86 [0.65-0.96],1.58,65.5,24.3,44.5
"Austin, TX",45,24313,0.48 [0.27-0.75],0.95,51.7,13.2,62.2
"Dallas, TX",57,26867,0.77 [0.39-0.93],1.33,71.0,18.9,50.2
"Fort Worth, TX",43,26563,0.69 [0.42-0.88],0.87,60.8,14.5,48.0
"Houston, TX",122,34031.5,0.76 [0.52-0.92],2.31,75.6,20.1,53.9
"San Antonio, TX",60,29923,0.83 [0.45-0.98],1.51,75.3,17.8,55.0
Total****,866,33485.5,0.74 [0.47-0.91],32.17,67.1,17.5,58.4
